2009 Amazon Affiliate Income,,,,
Product Line,Item Name,Seller,Items Shipped,Revenue ($)
Health & Personal Care,(1) Dr. Schulze Intestinal Formula #1 Colon Cleanse Laxative - 90 Capsules,Third Party,1,$18.09
Books,"1,000 Artist Journal Pages: Personal Pages and Inspirations (1000 Series)",Third Party,1,$15.68
Books,100 Minds That Made the Market (Fisher Investments Press),Amazon.com,1,$13.57
Books,1001 Natural Wonders You Must See Before You Die: UNESCO Edition,Amazon.com,1,$23.10
Books,1001 Paintings You Must See Before You Die,Amazon.com,1,$24.39
Electronics,"13 Pack of HP 02 Compatible Ink Cartridges: 3 Black + 2 Cyan, Magenta, Yellow, Light Cyan, Light Magenta by 4inkjets/LD",Third Party,1,$59.99
Tools & Hardware,16-Piece Deluxe Watch Opener Tool Kit Repair Pin Remover,Third Party,1,$9.75
Electronics,"2 in 1 USB Retractable Data Cable for Creative Zen Vision V, V Plus, Micro, Micro Photo, Muvo Slim, Xmod, Stone, Neeon 2, Neeon 512mb, Neeon 1gb, Neeo",Third Party,2,$6.66
Books,2 Over 1 Game Force (The Official Better Bridge),Amazon.com,1,$13.57
Books,2666: A Novel,Third Party,1,$11.97
Toys & Games,2-Channel RC Super Sonic Radio Control Airplane,Third Party,1,$21.25
Kitchen & Housewares,3D THE BRAIN Miscellaneous Candy Mold Chocolate,Third Party,1,$2.29
Other,5 X LED MINI MICRO BLACK KEYCHAIN KEY RING SUPER BRIGHT FLASH LIGHT WHITE LIGHT,Third Party,1,$9.95
MP3 Downloads,500+ Sound Effects,Amazon.com,1,$1.99
MP3 Downloads,808s & Heartbreak,Amazon.com,1,$5.00
Books,92 Pacific Boulevard (Cedar Cove),Amazon.com,1,$7.99
Books,A Bold Fresh Piece of Humanity,Amazon.com,1,$15.60
Books,A Charlie Brown Thanksgiving (Peanuts),Amazon.com,1,$4.95
Books,A Good Man in Africa: A Novel,Amazon.com,1,$10.85
